REF,TYPE,YEAR,MERGE_COL,LOCATION,LAT,LON,NOC,START,END,DISABILITIES_INCLUDED,EVENTS,SPORTS,COUNTRIES,MALE,FEMALE,PARTICIPANTS,HIGHLIGHTS
S14,Summer,2012,London,London,51.5072,0.1276,GBR,29-Aug-12,09-Sep-12,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",530,20,164,2741,1502,4243,"After an absence of 12 years intellectually disabled athletes competed in athletics, swimming and table tennis"
S15,Summer,2016,Rio,Rio,-22.9068,-43.1729,BRA,07-Sep-16,18-Sep-16,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",528,22,160,2657,1670,4327,Para Canoe and Para Triathlon added as sports bringing total number to 22
W1,Winter,1976,Ornskoldsvik,Ornskoldsvik,63.29,18.7166,SWE,21-Feb-76,28-Feb-76,Spinal injury,53,2,16,161,37,198,Demonstration event: Sledge Racing
W2,Winter,1980,Geilo,Geilo,60.5337,8.2088,NOR,02-Feb-80,08-Feb-80,"Spinal injury, Amputee, Vision Impairment, Les Autres",64,3,18,229,70,299,Demonstration event: Downhill Sledge Racing
W3,Winter,1984,Innsbruck,Innsbruck,47.2692,11.4041,AUT,15-Jan-84,21-Jan-84,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",107,3,21,325,94,419,Demonstration event at Olympics in Sarajevo: Giant Slalom.
W4,Winter,1988,Innsbruck,Innsbruck,47.2692,11.4041,AUT,18-Jan-88,25-Jan-88,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",97,4,22,300,77,377,Sit-Ski events introduced in the sports of Alpine and Nordic Skiing
W5,Winter,1992,TignesAlbertville,Tignes-Albertville,45.4683,6.9056,FRA,25-Mar-92,02-Apr-92,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",79,3,24,288,77,365,Biathlon added as a discipline. Demonstration events: Alpine and Cross Country Skiing for athletes with an intellectual disability. First Games to share Olympic venues. Continued ever since
W6,Winter,1994,Lillehammer,Lillehammer,61.1153,10.4662,NOR,10-Mar-94,19-Mar-94,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",133,5,31,39,90,129,Ice Sledge Hockey added as a sport
W7,Winter,1998,Nagano,Nagano,36.6485,138.195,JPN,07-Mar-98,16-Mar-98,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",122,5,31,440,122,562,Demonstrated rising media interest in Paralympic Winter Sport
W8,Winter,2002,SaltLakeCity,Salt Lake City,40.7608,-111.891,USA,09-Mar-02,18-Mar-02,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",92,4,36,328,87,415,Number of tickets on sale had to be augmented due to high demand
W9,Winter,2006,Torino,Torino,45.0703,7.6869,ITA,12-Mar-06,21-Mar-06,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",58,5,38,375,99,474,Wheelchair Curling added as a new sport.
W10,Winter,2010,Vancouver,Vancouver,49.2827,-123.1207,CAN,12-Mar-10,21-Mar-10,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",64,5,44,381,121,502,"Ticket sales exceeded 230,000, the most ever."
W11,Winter,2014,Sochi,Sochi,43.6028,39.7342,RUS,07-Mar-14,16-Mar-14,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",72,7,46,411,129,540,"316,200 tickets were sold, the most ever for Paralympic Winter Games. Para snowboard made its Paralympic Winter Games debut as part of IPC Alpine Skiing."
W12,Winter,2018,PyeongChang,PyeongChang,37.3705,128.39,KOR,09-Mar-18,18-Mar-18,"Spinal injury, Amputee, Vision Impairment, Cerebral",80,7,49,430,133,563,"Record numbers of spectators (343,000), accredited media (629) and international viewers outside of the host nation (1.87bn)"
